date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2020-06-26,EXPIRED,P,286.0,2020-06-26,0.0,107759.475761,0.0,,,,,,
2020-06-29,SIGNAL,P,288.0,2020-07-31,0.0,107759.475761,0.0,,,,,,
2020-06-30,SELL_PUT,P,288.0,2020-07-31,507.873947,108267.349708,0.0,5.085239,0.65,2020-06-29,5.095239,5.63158,
2020-07-31,EXPIRED,P,288.0,2020-07-31,0.0,108267.349708,0.0,,,,,,
2020-08-03,SIGNAL,P,316.0,2020-09-04,0.0,108267.349708,0.0,,,,,,
2020-08-04,SELL_PUT,P,316.0,2020-09-04,492.389113,108759.738821,0.0,4.930391,0.65,2020-08-03,4.940391,5.460432,
2020-09-04,EXPIRED,P,316.0,2020-09-04,0.0,108759.738821,0.0,,,,,,
2020-09-08,SIGNAL,P,317.0,2020-10-09,0.0,108759.738821,0.0,,,,,,
2020-09-09,SELL_PUT,P,317.0,2020-10-09,520.187324,109279.926145,0.0,5.208373,0.65,2020-09-08,5.218373,5.767676,
2020-10-09,EXPIRED,P,317.0,2020-10-09,0.0,109279.926145,0.0,,,,,,
2020-10-12,SIGNAL,P,338.0,2020-11-13,0.0,109279.926145,0.0,,,,,,
2020-10-13,SELL_PUT,P,338.0,2020-11-13,641.782641,109921.708786,0.0,6.424326,0.65,2020-10-12,6.434326,7.111624,
2020-11-13,EXPIRED,P,338.0,2020-11-13,0.0,109921.708786,0.0,,,,,,
2020-11-16,SIGNAL,P,349.0,2020-12-18,0.0,109921.708786,0.0,,,,,,
2020-11-17,SELL_PUT,P,349.0,2020-12-18,577.477155,110499.185941,0.0,5.781272,0.65,2020-11-16,5.791272,6.400879,
2020-12-18,EXPIRED,P,349.0,2020-12-18,0.0,110499.185941,0.0,,,,,,
2020-12-21,SIGNAL,P,355.0,2021-01-22,0.0,110499.185941,0.0,,,,,,
2020-12-22,SELL_PUT,P,355.0,2021-01-22,692.933579,111192.11952,0.0,6.935836,0.65,2020-12-21,6.945836,7.676976,
2021-01-22,EXPIRED,P,355.0,2021-01-22,0.0,111192.11952,0.0,,,,,,
2021-01-25,SIGNAL,P,371.0,2021-02-26,0.0,111192.11952,0.0,,,,,,
2021-01-26,SELL_PUT,P,371.0,2021-02-26,633.525576,111825.645096,0.0,6.341756,0.65,2021-01-25,6.351756,7.020362,
2021-02-26,EXPIRED,P,371.0,2021-02-26,0.0,111825.645096,0.0,,,,,,
2021-03-01,SIGNAL,P,372.0,2021-04-01,0.0,111825.645096,0.0,,,,,,
2021-03-02,SELL_PUT,P,372.0,2021-04-01,575.681069,112401.326165,0.0,5.763311,0.65,2021-03-01,5.773311,6.381028,
2021-04-01,EXPIRED,P,372.0,2021-04-01,0.0,112401.326165,0.0,,,,,,
2021-04-05,SIGNAL,P,395.0,2021-05-07,0.0,112401.326165,0.0,,,,,,
2021-04-06,SELL_PUT,P,395.0,2021-05-07,494.663842,112895.990007,0.0,4.953138,0.65,2021-04-05,4.963138,5.485574,
2021-05-07,EXPIRED,P,395.0,2021-05-07,0.0,112895.990007,0.0,,,,,,
2021-05-10,SIGNAL,P,406.0,2021-06-11,0.0,112895.990007,0.0,,,,,,
2021-05-11,SELL_PUT,P,406.0,2021-06-11,699.396913,113595.38692,0.0,7.000469,0.65,2021-05-10,7.010469,7.748413,
2021-06-11,EXPIRED,P,406.0,2021-06-11,0.0,113595.38692,0.0,,,,,,
2021-06-14,SIGNAL,P,414.0,2021-07-16,0.0,113595.38692,0.0,,,,,,
2021-06-15,SELL_PUT,P,414.0,2021-07-16,476.81201,114072.19893,0.0,4.77462,0.65,2021-06-14,4.78462,5.288264,
2021-07-16,EXPIRED,P,414.0,2021-07-16,0.0,114072.19893,0.0,,,,,,
2021-07-19,SIGNAL,P,412.0,2021-08-20,0.0,114072.19893,0.0,,,,,,
2021-07-20,SELL_PUT,P,412.0,2021-08-20,534.602519,114606.801449,0.0,5.352525,0.65,2021-07-19,5.362525,5.927002,
2021-08-20,EXPIRED,P,412.0,2021-08-20,0.0,114606.801449,0.0,,,,,,
2021-08-23,SIGNAL,P,434.0,2021-09-24,0.0,114606.801449,0.0,,,,,,
2021-08-24,SELL_PUT,P,434.0,2021-09-24,454.438503,115061.239952,0.0,4.550885,0.65,2021-08-23,4.560885,5.040978,
2021-09-24,EXPIRED,P,434.0,2021-09-24,0.0,115061.239952,0.0,,,,,,
2021-09-27,SIGNAL,P,430.0,2021-10-29,0.0,115061.239952,0.0,,,,,,
2021-09-28,SELL_PUT,P,430.0,2021-10-29,876.318334,115937.558286,0.0,8.769683,0.65,2021-09-27,8.779683,9.703861,
2021-10-29,EXPIRED,P,430.0,2021-10-29,0.0,115937.558286,0.0,,,,,,
2021-11-01,SIGNAL,P,448.0,2021-12-03,0.0,115937.558286,0.0,,,,,,
2021-11-02,SELL_PUT,P,448.0,2021-12-03,444.632399,116382.190685,0.0,4.452824,0.65,2021-11-01,4.462824,4.932595,
2021-12-03,EXPIRED,P,448.0,2021-12-03,0.0,116382.190685,0.0,,,,,,
2021-12-06,SIGNAL,P,437.0,2022-01-07,0.0,116382.190685,0.0,,,,,,
2021-12-07,SELL_PUT,P,437.0,2022-01-07,539.253216,116921.443901,0.0,5.399032,0.65,2021-12-06,5.409032,5.978404,
2022-01-07,EXPIRED,P,437.0,2022-01-07,0.0,116921.443901,0.0,,,,,,
2022-01-10,SIGNAL,P,451.0,2022-02-11,0.0,116921.443901,0.0,,,,,,
