date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-07-03,101884.997106,75029.266954,100.0,270.899994,234.269237,0.0,75029.266954,COVERED_CALL,101663.957816,100447.300488
2018-07-05,102038.904669,75029.266954,100.0,273.109985,301.36082,0.0,75029.266954,COVERED_CALL,102486.074638,100668.299634
2018-07-06,102229.366833,75029.266954,100.0,275.420013,341.901464,0.0,75029.266954,COVERED_CALL,103345.405082,100899.302441
2018-07-09,102451.333979,75029.266954,100.0,277.899994,367.932365,0.0,75029.266954,COVERED_CALL,104267.957816,101147.300488
2018-07-10,102532.57766,75029.266954,100.0,278.899994,386.688684,0.0,75029.266954,COVERED_CALL,104639.957816,101247.300488
2018-07-11,102440.956312,75029.266954,100.0,276.859985,274.309177,0.0,75029.266954,COVERED_CALL,103881.074638,101043.299634
2018-07-12,102551.567868,75029.266954,100.0,279.369995,414.698597,0.0,75029.266954,COVERED_CALL,104814.798271,101294.30061
2018-07-13,102603.490633,75029.266954,100.0,279.589996,384.775955,0.0,75029.266954,COVERED_CALL,104896.638725,101316.300732
2018-07-16,102642.887946,75029.266954,100.0,279.339996,320.378642,0.0,75029.266954,COVERED_CALL,104803.638725,101291.300732
2018-07-17,102688.605911,75029.266954,100.0,280.470001,387.661165,0.0,75029.266954,COVERED_CALL,105224.000541,101404.301221
2018-07-18,102741.270061,75029.266954,100.0,281.059998,393.996649,0.0,75029.266954,COVERED_CALL,105443.479179,101463.300854
2018-07-19,102717.219883,75029.266954,100.0,280.0,312.047071,0.0,75029.266954,COVERED_CALL,105049.160087,101357.301099
2018-07-20,102706.005374,75029.266954,100.0,279.679993,291.260848,0.0,75029.266954,COVERED_CALL,104930.117362,101325.300366
2018-07-23,102788.076005,75029.266954,100.0,280.200012,261.192169,0.0,75029.266954,COVERED_CALL,105123.564628,101377.302319
2018-07-24,102854.128104,75029.266954,100.0,281.609985,336.137385,0.0,75029.266954,COVERED_CALL,105648.074638,101518.299634
2018-07-25,102895.052276,75029.266954,100.0,284.01001,535.215655,0.0,75029.266954,COVERED_CALL,106540.88372,101758.302075
2018-07-26,102904.660047,75029.266954,100.0,283.339996,458.606541,0.0,75029.266954,COVERED_CALL,106291.638725,101691.300732
2018-07-27,102929.266954,102929.266954,0.0,281.420013,0.0,0.0,102929.266954,CASH,105577.405082,101499.302441
2018-07-30,102929.266954,102929.266954,0.0,279.950012,0.0,0.0,102929.266954,CASH,105030.564628,101352.302319
2018-07-31,102902.381005,103167.35847,0.0,281.329987,264.977466,27400.0,75767.35847,SHORT_PUT,105543.915092,101490.299756
2018-08-01,102945.077284,103167.35847,0.0,280.859985,222.281186,27400.0,75767.35847,SHORT_PUT,105369.074638,101443.299634
2018-08-02,102982.22047,103167.35847,0.0,282.390015,185.138001,27400.0,75767.35847,SHORT_PUT,105938.245536,101596.302563
2018-08-03,103042.658572,103167.35847,0.0,283.600006,124.699899,27400.0,75767.35847,SHORT_PUT,106388.362357,101717.301709
2018-08-06,103088.82769,103167.35847,0.0,284.640015,78.53078,27400.0,75767.35847,SHORT_PUT,106775.245536,101821.302563
2018-08-07,103112.347746,103167.35847,0.0,285.579987,55.010725,27400.0,75767.35847,SHORT_PUT,107124.915092,101915.299756
