date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2021-06-14,SIGNAL,P,416.0,2021-07-16,0.0,121807.480584,0.0,,,,,,
2021-06-15,SELL_PUT,P,416.0,2021-07-16,403.388902,122210.869486,0.0,4.040389,0.65,2021-06-14,4.050389,4.476746,
2021-07-16,EXPIRED,P,416.0,2021-07-16,0.0,122210.869486,0.0,,,,,,
2021-07-19,SIGNAL,P,414.0,2021-08-20,0.0,122210.869486,0.0,,,,,,
2021-07-20,SELL_PUT,P,414.0,2021-08-20,414.738826,122625.608312,0.0,4.153888,0.65,2021-07-19,4.163888,4.602192,
2021-08-20,EXPIRED,P,414.0,2021-08-20,0.0,122625.608312,0.0,,,,,,
2021-08-23,SIGNAL,P,436.0,2021-09-24,0.0,122625.608312,0.0,,,,,,
2021-08-24,SELL_PUT,P,436.0,2021-09-24,368.133712,122993.742024,0.0,3.687837,0.65,2021-08-23,3.697837,4.087083,
2021-09-24,EXPIRED,P,436.0,2021-09-24,0.0,122993.742024,0.0,,,,,,
2021-09-27,SIGNAL,P,432.0,2021-10-29,0.0,122993.742024,0.0,,,,,,
2021-09-28,SELL_PUT,P,432.0,2021-10-29,786.391477,123780.133501,0.0,7.870415,0.65,2021-09-27,7.880415,8.709932,
2021-10-29,EXPIRED,P,432.0,2021-10-29,0.0,123780.133501,0.0,,,,,,
2021-11-01,SIGNAL,P,450.0,2021-12-03,0.0,123780.133501,0.0,,,,,,
2021-11-02,SELL_PUT,P,450.0,2021-12-03,360.155735,124140.289236,0.0,3.608057,0.65,2021-11-01,3.618057,3.998905,
2021-12-03,EXPIRED,P,450.0,2021-12-03,0.0,124140.289236,0.0,,,,,,
2021-12-06,SIGNAL,P,440.0,2022-01-07,0.0,124140.289236,0.0,,,,,,
2021-12-07,SELL_PUT,P,440.0,2022-01-07,404.179963,124544.469199,0.0,4.0483,0.65,2021-12-06,4.0583,4.485489,
2022-01-07,EXPIRED,P,440.0,2022-01-07,0.0,124544.469199,0.0,,,,,,
2022-01-10,SIGNAL,P,454.0,2022-02-11,0.0,124544.469199,0.0,,,,,,
2022-01-11,SELL_PUT,P,454.0,2022-02-11,396.000402,124940.469602,0.0,3.966504,0.65,2022-01-10,3.976504,4.395083,
2022-02-11,PUT_ASSIGNED,P,454.0,2022-02-11,-45400.0,79540.469602,100.0,,,,,,
2022-02-14,SIGNAL,C,460.0,2022-03-18,0.0,79540.469602,100.0,,,,,,
2022-02-15,SELL_CALL,C,460.0,2022-03-18,872.654702,80413.124304,100.0,8.733047,0.65,2022-02-14,8.743047,9.663368,
2022-03-18,DIVIDEND,,,,136.6,80549.724304,100.0,,,,,,
2022-03-18,EXPIRED,C,460.0,2022-03-18,0.0,80549.724304,100.0,,,,,,
2022-03-21,SIGNAL,C,463.0,2022-04-22,0.0,80549.724304,100.0,,,,,,
2022-03-22,SELL_CALL,C,463.0,2022-04-22,674.057869,81223.782173,100.0,6.747079,0.65,2022-03-21,6.757079,7.46835,
2022-04-22,EXPIRED,C,463.0,2022-04-22,0.0,81223.782173,100.0,,,,,,
2022-04-25,SIGNAL,C,454.0,2022-05-27,0.0,81223.782173,100.0,,,,,,
2022-04-26,SELL_CALL,C,454.0,2022-05-27,225.69809,81449.480263,100.0,2.263481,0.65,2022-04-25,2.273481,2.512795,
2022-05-27,EXPIRED,C,454.0,2022-05-27,0.0,81449.480263,100.0,,,,,,
2022-05-31,SIGNAL,C,454.0,2022-07-01,0.0,81449.480263,100.0,,,,,,
2022-06-01,SELL_CALL,C,454.0,2022-07-01,122.899437,81572.3797,100.0,1.235494,0.65,2022-05-31,1.245494,1.376599,
2022-06-17,DIVIDEND,,,,157.7,81730.0797,100.0,,,,,,
2022-07-01,EXPIRED,C,454.0,2022-07-01,0.0,81730.0797,100.0,,,,,,
2022-07-05,SIGNAL,C,454.0,2022-08-05,0.0,81730.0797,100.0,,,,,,
2022-07-06,SELL_CALL,C,454.0,2022-08-05,16.859702,81746.939402,100.0,0.175097,0.65,2022-07-05,0.185097,0.205097,
2022-08-05,EXPIRED,C,454.0,2022-08-05,0.0,81746.939402,100.0,,,,,,
2022-08-08,SIGNAL,C,454.0,2022-09-09,0.0,81746.939402,100.0,,,,,,
2022-08-09,SELL_CALL,C,454.0,2022-09-09,61.898453,81808.837855,100.0,0.625485,0.65,2022-08-08,0.635485,0.702378,
2022-09-09,EXPIRED,C,454.0,2022-09-09,0.0,81808.837855,100.0,,,,,,
2022-09-12,SIGNAL,C,454.0,2022-10-14,0.0,81808.837855,100.0,,,,,,
2022-09-13,SELL_CALL,C,454.0,2022-10-14,18.916078,81827.753932,100.0,0.195661,0.65,2022-09-12,0.205661,0.227309,
2022-09-16,DIVIDEND,,,,159.6,81987.353932,100.0,,,,,,
2022-10-14,EXPIRED,C,454.0,2022-10-14,0.0,81987.353932,100.0,,,,,,
2022-10-17,SIGNAL,C,454.0,2022-11-18,0.0,81987.353932,100.0,,,,,,
2022-10-18,SELL_CALL,C,454.0,2022-11-18,16.040751,82003.394683,100.0,0.166908,0.65,2022-10-17,0.176908,0.196908,
2022-11-18,EXPIRED,C,454.0,2022-11-18,0.0,82003.394683,100.0,,,,,,
2022-11-21,SIGNAL,C,454.0,2022-12-23,0.0,82003.394683,100.0,,,,,,
2022-11-22,SELL_CALL,C,454.0,2022-12-23,25.360834,82028.755517,100.0,0.260108,0.65,2022-11-21,0.270108,0.298541,
2022-12-16,DIVIDEND,,,,178.1,82206.855517,100.0,,,,,,
2022-12-23,EXPIRED,C,454.0,2022-12-23,0.0,82206.855517,100.0,,,,,,
2022-12-27,NO_CANDIDATE,,,,0.0,82206.855517,100.0,,,,,,no_eligible_contract
2022-12-28,NO_CANDIDATE,,,,0.0,82206.855517,100.0,,,,,,no_eligible_contract
2022-12-29,SIGNAL,C,454.0,2023-02-03,0.0,82206.855517,100.0,,,,,,
2022-12-30,ORDER_SKIPPED,C,454.0,2023-02-03,0.0,82206.855517,100.0,,,2022-12-29,,,illiquid_quote
2022-12-30,NO_CANDIDATE,,,,0.0,82206.855517,100.0,,,,,,no_eligible_contract
2023-01-03,NO_CANDIDATE,,,,0.0,82206.855517,100.0,,,,,,no_eligible_contract
2023-01-04,SIGNAL,C,454.0,2023-02-10,0.0,82206.855517,100.0,,,,,,
